event_date,event_return,entry_price,forward_1d,forward_3d,forward_5d,forward_10d
06-JAN-2015,-0.02996395,8118.65,-0.0020385,0.0204283,0.0222636,0.0710648
09-MAR-2015,-0.02025118,8769.75,-0.0065794,0.0007127,-0.0155763,-0.0249551
24-AUG-2015,-0.05915096,7895.4,-0.0018618,0.0067824,0.0096132,-0.0426324
11-NOV-2016,-0.02691259,8284.85,-0.0212919,-0.0247319,-0.0429398,-0.0190649
06-MAR-2020,-0.02480699,10742.05,-0.0270526,-0.1072328,-0.1437947,-0.2915458
17-MAR-2020,-0.02504512,9088.45,-0.0681799,-0.0377402,-0.1416523,-0.0539916
11-JUN-2020,-0.02116912,9544.95,0.0448352,0.0386644,0.0572764,0.0779417
07-MAR-2022,-0.02352673,15747.75,0.0168723,0.053795,0.0713467,0.0995539
04-JUN-2024,-0.05929358,22128.35,0.0222339,0.0525028,0.0513595,0.0627091
07-APR-2025,-0.03243256,22446.75,0.0039694,0.0170091,0.0441244,0.0801876
