threshold,horizon,n,event_mean,excess_mean
-0.015,1,118,0.0002730505,-0.000201243
-0.015,3,105,0.0039462688,0.0025396083
-0.015,5,91,0.002593,0.0002190516
-0.015,10,75,0.011869087,0.007107607
-0.02,1,60,0.0009406061,0.0004663126
-0.02,3,52,0.0014723457,6.56851e-05
-0.02,5,46,8.63225e-05,-0.0022876251
-0.02,10,42,0.0158859324,0.0111244522
-0.025,1,32,0.0036880403,0.0032137468
-0.025,3,28,0.0050129575,0.003606296
-0.025,5,27,0.0081513483,0.0057774005
-0.025,10,23,0.0127325853,0.0079711051
-0.03,1,20,0.0049896007,0.0045153072
-0.03,3,17,0.0050456151,0.0036389546
-0.03,5,16,0.0061553737,0.003781426
-0.03,10,12,0.0140285315,0.0092670512
